Ingredient,Category,Shelf_Life
Cream,Dairy Products & Eggs,1.0-1.0 Days (Refrigerator)
Eggs,Dairy Products & Eggs,2.0-4.0 Days (Refrigerator)
Eggs,Dairy Products & Eggs,1.0-1.0 Weeks (Refrigerator)
Egg dishes,Dairy Products & Eggs,3.0-4.0 Days (Refrigerator)
Whipped topping,Dairy Products & Eggs,14.0-14.0 Months (Freezer)
Yogurt,Dairy Products & Eggs,1.0-2.0 Months (Freezer)
Jerky,Meat,1.0-2.0 Months (Pantry)
"Stuffed, raw chicken breasts",Poultry,1.0-2.0 Days (Refrigerator)
Raw kabobs with vegetables,Poultry,1.0-2.0 Days (Refrigerator)
Cooked poultry dishes,Poultry,3.0-4.0 Days (Refrigerator)
Fried chicken,Poultry,3.0-4.0 Days (Refrigerator)
Poultry pieces,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Cooked fish,Seafood,3.0-4.0 Days (Refrigerator)
Crab meat,Seafood,1.0-3.0 Days (Refrigerator)
Cooked shellfish,Seafood,3.0-4.0 Days (Refrigerator)
Re-hydrated textured soy protein,Vegetarian Proteins,3.0-4.0 Days (Refrigerator)
Leftovers,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Leftovers,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Leftovers,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Cooked pasta,Deli & Prepared Foods,3.0-5.0 Days (Refrigerator)
Cooked rice,Deli & Prepared Foods,4.0-6.0 Days (Refrigerator)
Guacamole,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Hummus,Deli & Prepared Foods,7.0-7.0 Days (Refrigerator)
Luncheon meat or poultry,Deli & Prepared Foods,1.0-2.0 Months (Freezer)
Main dishes or meals,Deli & Prepared Foods,2.0-3.0 Months (Freezer)
Meats,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Pate,Deli & Prepared Foods,1.0-2.0 Months (Freezer)
"Soup, stews",Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Casseroles,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Fruit pies,Baked Goods,1.0-2.0 Days (Pantry)
Pies,Baked Goods,2.0-2.0 Hours (Pantry)
Pies,Baked Goods,2.0-2.0 Hours (Pantry)
Pies,Baked Goods,2.0-2.0 Hours (Pantry)
Quiche,Baked Goods,2.0-2.0 Hours (Pantry)
Apples,Produce,8.0-8.0 Months (Freezer)
Apricots,Produce,2.0-5.0 Days (Refrigerator)
Avocados,Produce,3.0-4.0 Days (Refrigerator)
Bananas,Produce,3.0-3.0 Days (Refrigerator)
Berries,Produce,12.0-12.0 Months (Freezer)
Berries,Produce,12.0-12.0 Months (Freezer)
Blueberries,Produce,8.0-12.0 Months (Freezer)
Cherimoya,Produce,4.0-4.0 Days (Refrigerator)
Coconut,Produce,1.0-1.0 Years (Freezer)
Cranberries,Produce,12.0-12.0 Months (Freezer)
Dates,Produce,1.0-2.0 Years (Freezer)
Grapes,Produce,1.0-1.0 Months (Freezer)
Guava,Produce,2.0-4.0 Days (Refrigerator)
Kiwi fruit,Produce,3.0-6.0 Days (Refrigerator)
Melons,Produce,1.0-1.0 Months (Freezer)
"Papaya, mango, feijoa, passionfruit, casaha melon",Produce,6.0-8.0 Months (Freezer)
"Peaches, nectarines, plums, pears, sapote",Produce,3.0-5.0 Days (Refrigerator)
Pineapple,Produce,5.0-7.0 Days (Refrigerator)
Plantains,Produce,3.0-5.0 Days (Refrigerator)
Pomegranate,Produce,10.0-12.0 Months (Freezer)
Potatoes,Produce,10.0-12.0 Months (Freezer)
Tamarind,Produce,1.0-1.0 Years (Freezer)
Dough,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Egg substitutes,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Fish,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Frozen pretzels,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Lobster tails,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Sausages,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Sausages,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
"Shrimp, shellfish",Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Soy crumbles and hot dogs,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Soy meat substitutes,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Tempeh,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Vegetables,Food Purchased Frozen,3.0-4.0 Days (Refrigerator)
Fresh pasta,"Grains, Beans & Pasta",1.0-2.0 Days (Refrigerator)
Dry gravy mixes,"Condiments, Sauces & Canned Goods",1.0-2.0 Days (Refrigerator)
Pesto,"Condiments, Sauces & Canned Goods",1.0-1.0 Months (Freezer)
Crackers,Shelf Stable Foods,3.0-4.0 Months (Freezer)
Nuts,Shelf Stable Foods,6.0-12.0 Months (Freezer)
Coffee,Beverages,1.0-2.0 Years (Freezer)
Kumquats,Produce,3.0-3.0 Weeks (Refrigerator)
Bagged greens,Produce,3.0-5.0 Days (Refrigerator)
Egg salad,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Potato salad,Deli & Prepared Foods,3.0-5.0 Days (Refrigerator)
Seafood salads,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Chicken salad,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Ham salad,Deli & Prepared Foods,3.0-4.0 Days (Refrigerator)
Pasta salad,Deli & Prepared Foods,3.0-5.0 Days (Refrigerator)
Quinoa,"Grains, Beans & Pasta",6.0-7.0 Days (Refrigerator)
Bagel,Baked Goods,1.0-2.0 Days (Pantry)
Bagel ,Baked Goods,3.0-3.0 Months (Freezer)
Muffin,Baked Goods,3.0-7.0 Days (Pantry)
Muffin,Baked Goods,3.0-7.0 Days (Pantry)
Muffin,Baked Goods,9.0-9.0 Months (Pantry)
Coconut oil,Shelf Stable Foods,3.0-3.0 Years (Pantry)
Orange juice,Beverages,2.0-3.0 Days (Refrigerator)
Roasted red peppers,Shelf Stable Foods,4.0-6.0 Months (Refrigerator)
Whole wheat flour,Baked Goods,12.0-12.0 Months (Pantry)
Whole wheat bread,"Grains, Beans & Pasta",3.0-5.0 Days (Pantry)
Whole wheat bread,"Grains, Beans & Pasta",3.0-5.0 Days (Pantry)
Red wine,Beverages,3.0-5.0 Years (Pantry)
White wine,Beverages,1.0-2.0 Years (Pantry)
Dry stuffing mix,Shelf Stable Foods,9.0-12.0 Months (Pantry)
Powdered milk,Dairy Products & Eggs,3.0-5.0 Years (Pantry)
Almond butter,Shelf Stable Foods,1.0-1.0 Years (Pantry)
Cashew butter,Shelf Stable Foods,3.0-3.0 Months (Pantry)
Star fruit,Produce,1.0-1.0 Weeks (Pantry)
Prickly pear ,Produce,2.0-5.0 Days (Pantry)
Pitaya/dragon fruit,Produce,2.0-5.0 Days (Pantry)
Strawberries,Produce,8.0-12.0 Months (Freezer)
Raspberries,Produce,8.0-12.0 Months (Freezer)
Cherries,Produce,8.0-12.0 Months (Freezer)
Broth,"Condiments, Sauces & Canned Goods",3.0-4.0 Days (Refrigerator)
Beef broth/stock/consommé ,"Condiments, Sauces & Canned Goods",7.0-7.0 Days (Refrigerator)
Chicken broth/stock/consommé ,"Condiments, Sauces & Canned Goods",7.0-7.0 Days (Refrigerator)
Vegetable stock/broth ,"Condiments, Sauces & Canned Goods",7.0-7.0 Days (Refrigerator)
Baby carrots,Produce,3.0-3.0 Months (Freezer)
Kohlrabi,Produce,8.0-12.0 Months (Freezer)
Watermelon,Produce,12.0-12.0 Months (Freezer)
Cantaloupe,Produce,12.0-12.0 Months (Freezer)
Honeydew,Produce,12.0-12.0 Months (Freezer)
Tomato paste,Shelf Stable Foods,2.0-3.0 Months (Freezer)
Flaxseed,Shelf Stable Foods,12.0-12.0 Months (Freezer)
Cilantro,Produce,1.0-2.0 Weeks (Pantry)
